[0.48730105084260766] (((0.8988796316237626) + (((-2.4500340332228865e-2) * (np.sin((x[:,0])**(2)))) + (((-8.455957119722219e-4) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((5.8212419617689165e-2) * (((x[:,1])**(2)))) + (((-8.875839274890361e-8) * (np.exp((x[:,0])**(2)))) + (((-7.840340691142084e-2) * (np.sin((x[:,1])**(2)))) + ((6.368532027254722e-2) * (((x[:,0])**(2)))))))))) / ((1.0) + ((3.58846821816824e-8) * (np.exp((x[:,1])**(2))))))
[0.505447369962081] ((0.9062281362379507) + (((-2.114471344746306e-7) * (np.exp(((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((-5.185497927360121e-4) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((5.295354767570404e-2) * (((x[:,1])**(2)))) + (((-3.755664640044578e-8) * (np.exp((x[:,0])**(2)))) + (((-3.7492549825167846e-8) * (np.exp((x[:,0])**(2)))) + (((-7.662983713393395e-2) * (np.sin((x[:,1])**(2)))) + ((6.348224950923534e-2) * (((x[:,0])**(2)))))))))))
[0.5081452185379894] ((0.9284907774905751) + (((-1.8239812600011368e-2) * (np.sin((x[:,0])**(2)))) + (((-3.4402298014576764e-4) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((2.5203193699159777e-2) * (((x[:,1])**(2)))) + (((2.5203193699150816e-2) * (((x[:,1])**(2)))) + (((-8.510948935033926e-8) * (np.exp((x[:,0])**(2)))) + (((-8.944088291044225e-2) * (np.sin((x[:,1])**(2)))) + ((6.2456750085342086e-2) * (((x[:,0])**(2)))))))))))
[0.48916129001988007] ((0.88699759755961) + (((-8.179238147812961e-8) * (np.exp((x[:,1])**(2)))) + (((-8.537892520392837e-4) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((5.963721276179563e-2) * (((x[:,1])**(2)))) + (((-9.20991803663272e-8) * (np.exp((x[:,0])**(2)))) + (((3.215024591210873e-2) * (((x[:,0])**(2)))) + (((-7.483954439943252e-2) * (np.sin((x[:,1])**(2)))) + ((3.215024591210837e-2) * (((x[:,0])**(2)))))))))))
[0.483910064834426] (((0.8831693480681411) + (((-2.305669916504774e-2) * (np.sin((x[:,0])**(2)))) + (((-1.9844040306667648e-7) * (np.exp(((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((-9.882009977846959e-4) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((6.048858819559932e-2) * (((x[:,1])**(2)))) + (((-7.725179321934268e-8) * (np.exp((x[:,0])**(2)))) + (((-6.717994176920028e-2) * (np.sin((x[:,1])**(2)))) + ((6.421103145402851e-2) * (((x[:,0])**(2))))))))))) / ((1.0) + ((3.4905408039034956e-8) * (np.exp((x[:,1])**(2))))))
