[0.17380505645516495] (((0.8244679549238048) + (((2.510302635098939e-2) * (((x[:,0])**(2)))) + (((4.988637922975898e-3) * (((x[:,0])**(1)))) + (((3.6510078136249915e11) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((3.592020003552765e-2) * (((x[:,1])**(2)))) + ((-3.651007813622902e11) * ((((x[:,1])**(2)) * ((x[:,0])**(2)))))))))) / ((1.0) + (((1.8155424484049315e-3) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + ((0.10316736975999713) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))))))
[0.17366402015604532] (((0.9161295934323282) + (((5.488913386233538e-3) * (((x[:,0])**(2)))) + (((-5.18947391038892e-4) * (((x[:,0])**(1)))) + (((6.433702609550481e10) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((-6.396121410958434e-4) * (((x[:,1])**(1)))) + (((-3.2173262229774334e10) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + ((-3.2163763865428886e10) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))))))))) / ((1.0) + (((-3.7318421630656027e-4) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + ((0.14779744300323988) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))))))
[0.17643850222208937] (((0.8274166766727754) + (((-2.0604415524152972e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((3.466066196956799e-2) * (((x[:,1])**(2)))) + (((2.8026549350775823e-2) * (((x[:,0])**(2)))) + (((-2.917499081891886e-3) * (((x[:,1])**(1)))) + ((0.2132966035267714) * ((((x[:,1])**(2)) * ((x[:,0])**(2)))))))))) / ((1.0) + (((-1.0794498893096608e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + ((0.10556940797728664) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))))))
[0.17529147652886579] (((0.8265636466042043) + (((2.5340139640131754e-2) * (((x[:,0])**(2)))) + (((2.822264023402908e-3) * (((x[:,0])**(1)))) + (((3.72502199648308e11) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((3.632210267379937e-2) * (((x[:,1])**(2)))) + (((-1.855555978438483e11) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + ((-1.8694660180425394e11) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))))))))) / ((1.0) + (((-2.0351279407781656e-5) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + ((0.10155040395896794) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))))))
[0.17157508228199422] (((0.9085689017310022) + (((-3.850320169976043e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((5.183833662353067e-3) * (((x[:,0])**(1)))) + (((3.0514031649932806e-3) * (((x[:,0])**(2)))) + (((3.051403164986007e-3) * (((x[:,0])**(2)))) + (((0.30939911136712467) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + ((-4.422654143205796e-3) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))))))))) / ((1.0) + (((0.15175764132907577) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + ((-1.9993237577243663e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))))))
