[0.46455015239720804] (((0.8818929717245031) + (((6.370986545076977e-2) * (((x[:,0])**(2)))) + (((0.19420889462653432) * (((x[:,1])**(1)))) + (((-0.23075541530841046) * (np.sin((x[:,1])**(1)))) + (((0.1145718382618335) * (((x[:,1])**(2)))) + (((-4.4969925405359615e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783613772313e-8) * (np.exp((x[:,0])**(2)))) + (((-2.199125889697385e-2) * (np.sin((x[:,1])**(2)))) + (((-2.1991258896973828e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524352851604e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660090445e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015241168335] (((0.8818929717189995) + (((6.370986545137824e-2) * (((x[:,0])**(2)))) + (((0.19420889455584808) * (((x[:,1])**(1)))) + (((-0.23075541522121) * (np.sin((x[:,1])**(1)))) + (((0.11457183824301748) * (((x[:,1])**(2)))) + (((-4.496992538900345e-2) * (np.exp((x[:,1])**(1)))) + (((-4.639762034156331e-8) * (np.exp((x[:,0])**(2)))) + (((-4.648021568474916e-8) * (np.exp((x[:,0])**(2)))) + (((-4.3982517793941064e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524995562542e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1240806600886406e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239555625] (((0.8818929717186957) + (((6.370986544885245e-2) * (((x[:,0])**(2)))) + (((0.19420889458096333) * (((x[:,1])**(1)))) + (((-0.23075541525014834) * (np.sin((x[:,1])**(1)))) + (((5.728591912626975e-2) * (((x[:,1])**(2)))) + (((5.728591912626138e-2) * (((x[:,1])**(2)))) + (((-4.496992539484314e-2) * (np.exp((x[:,1])**(1)))) + (((-9.28778361409242e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779381725e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524345356673e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660099663e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.4786397105190539] (((0.890677201355228) + (((6.337455351503218e-2) * (((x[:,0])**(2)))) + (((4.897374134410627e-2) * (((x[:,1])**(1)))) + (((7.414548270666707e-2) * (((x[:,1])**(2)))) + (((-1.2245553328370424e-2) * (np.exp((x[:,1])**(1)))) + (((-9.169978206265551e-8) * (np.exp((x[:,0])**(2)))) + (((-3.539146988706747e-2) * (np.sin((x[:,1])**(2)))) + (((-2.8556271972167055e-8) * (np.exp((x[:,1])**(2)))) + (((-3.539146988706725e-2) * (np.sin((x[:,1])**(2)))) + ((-2.8718035505736335e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((2.7266233405119127e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.4645501523980888] (((0.8818929717293026) + (((6.370986544842114e-2) * (((x[:,0])**(2)))) + (((0.19420889463906238) * (((x[:,1])**(1)))) + (((-0.23075541532111768) * (np.sin((x[:,1])**(1)))) + (((0.11457183826715547) * (((x[:,1])**(2)))) + (((-2.2484962704152893e-2) * (np.exp((x[:,1])**(1)))) + (((-2.2484962704155266e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783617816242e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779429854e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524291931757e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660089229e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.4663824726576401] (((0.8685077768655031) + (((6.34835625812005e-2) * (((x[:,0])**(2)))) + (((0.20456362658506647) * (((x[:,1])**(1)))) + (((-0.12474818999605031) * (np.sin((x[:,1])**(1)))) + (((-0.12474818999604985) * (np.sin((x[:,1])**(1)))) + (((0.11869095149776407) * (((x[:,1])**(2)))) + (((-4.757138852261223e-2) * (np.exp((x[:,1])**(1)))) + (((-9.078322915148509e-8) * (np.exp((x[:,0])**(2)))) + ((-1.2779896698568962e-8) * (np.exp((x[:,1])**(2)))))))))))) / ((1.0) + ((3.3466958899146235e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239719] (((0.8818929717240921) + (((3.1854932648901914e-2) * (((x[:,0])**(2)))) + (((3.185493280082715e-2) * (((x[:,0])**(2)))) + (((0.19420889460948892) * (((x[:,1])**(1)))) + (((-0.23075541528660784) * (np.sin((x[:,1])**(1)))) + (((0.11457183825845393) * (((x[:,1])**(2)))) + (((-4.4969925401470975e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783615446022e-8) * (np.exp((x[:,0])**(2)))) + (((-4.3982517794075617e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524331053079e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1240806600891118e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.5477972596885312] (((0.9612142100588787) + (((6.610866821648903e-2) * (((x[:,0])**(2)))) + (((-0.15068426206929225) * (((x[:,1])**(1)))) + (((9.95755800830058e-2) * (np.sin((x[:,1])**(1)))) + (((9.957558008301085e-2) * (np.sin((x[:,1])**(1)))) + (((3.5482590949654655e-2) * (np.exp((x[:,1])**(1)))) + (((-9.394050976515715e-8) * (np.exp((x[:,0])**(2)))) + (((-0.10662412863780293) * (np.sin((x[:,1])**(2)))) + ((-8.989701947142976e-8) * (np.exp((x[:,1])**(2)))))))))))) / ((1.0) + ((3.140817829737245e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239720276] (((0.8818929717303291) + (((6.370986545053385e-2) * (((x[:,0])**(2)))) + (((0.194208894570502) * (((x[:,1])**(1)))) + (((-0.11537770761900569) * (np.sin((x[:,1])**(1)))) + (((-0.11537770761900532) * (np.sin((x[:,1])**(1)))) + (((0.11457183824721884) * (((x[:,1])**(2)))) + (((-4.49699253922905e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783615741237e-8) * (np.exp((x[:,0])**(2)))) + (((-4.3982517793975426e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524350442278e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1240806600909183e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239555625] (((0.8818929717186957) + (((6.370986544885245e-2) * (((x[:,0])**(2)))) + (((0.19420889458096333) * (((x[:,1])**(1)))) + (((-0.23075541525014834) * (np.sin((x[:,1])**(1)))) + (((5.728591912626975e-2) * (((x[:,1])**(2)))) + (((5.728591912626138e-2) * (((x[:,1])**(2)))) + (((-4.496992539484314e-2) * (np.exp((x[:,1])**(1)))) + (((-9.28778361409242e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779381725e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524345356673e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660099663e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
