5.380274943433111e-4,  (((0.6890863624876804) + (((-0.11035654567953276) * (np.sin((x[:,0])**(2)))) + (((1.740575855488999) * (((x[:,0])**(1)))) + (((-0.7377086554881792) * (np.exp((x[:,0])**(1)))) + ((3.636415411068262e-2) * (np.exp((x[:,0])**(2)))))))) / ((1.0) + (((4.724341011855268e-2) * (np.sin((x[:,0])**(2)))) + ((-0.5313471433456562) * (((x[:,0])**(1)))))))
3.0697249416428846e-4,  (((0.7420159569304572) + (((1.7860948321452912) * (((x[:,0])**(1)))) + (((-0.40460605115446285) * (np.exp((x[:,0])**(1)))) + (((-0.404606051154463) * (np.exp((x[:,0])**(1)))) + ((5.525273997923631e-2) * (np.exp((x[:,0])**(2)))))))) / ((1.0) + (((-4.29575132671807e-3) * (np.exp((x[:,0])**(2)))) + ((-0.4306601151654217) * (((x[:,0])**(1)))))))
2.0206781232678635e-6,  (((0.9819907727506536) + (((1.967357921916002) * (((x[:,0])**(1)))) + (((-0.9880499566485219) * (np.exp((x[:,0])**(1)))) + (((0.7377093727919896) * (((x[:,0])**(2)))) + ((6.327798768484674e-3) * (np.exp((x[:,0])**(2)))))))) / ((1.0) + (((-1.592731220985645e-2) * (np.exp((x[:,0])**(2)))) + ((0.25202010583120515) * (((x[:,0])**(1)))))))
1.2822243919759786e-5,  (((0.979865924327631) + (((0.9788123710694261) * (((x[:,0])**(1)))) + (((0.9788123710694239) * (((x[:,0])**(1)))) + (((-0.9783020225834724) * (np.exp((x[:,0])**(1)))) + ((0.8031219196587657) * (((x[:,0])**(2)))))))) / ((1.0) + (((-1.5191512079389943e-2) * (np.exp((x[:,0])**(2)))) + ((0.325182520875677) * (((x[:,0])**(1)))))))
6.040492258931919e-33,  ((-2.1141942363467336e-18) + (((0.9999999999999996) * (np.sin((x[:,0])**(1)))) + ((3.885780586188048e-16) * (((x[:,0])**(1))))))
