dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
527_analcatdata_election2000,152.0519428119342,10.048444382992187,0.9999966131216356,46.0,2499.302283763885
529_pollen,1.4438735392988278,0.7346448090877937,0.7828600177463358,103.0,5606.929916381836
537_houses,61844.78007421989,22.064757561305402,0.7125560288023887,92.0,10579.859030008316
542_pollution,53.05987937731035,7.942842150761564,0.1675848388820203,70.0,3202.7948145866394
547_no2,0.5496085437561156,-1.1972038557604647,0.41602743039280005,101.5,3380.1938403844833
556_analcatdata_apnea2,1331.3707024962841,14.381677026480343,0.8399790768017983,83.5,3511.7777411937714
557_analcatdata_apnea1,1502.9546970512633,14.60763829964706,0.8365319841492963,83.5,3497.2858097553253
560_bodyfat,0.6705159677669015,-0.8025506916296231,0.9936633040355922,90.5,3329.7166588306427
561_cpu,7.432932905616134,3.995012584015056,0.9956530760068049,88.0,3241.6798375844955
562_cpu_small,3.1356701851618407,2.285684004201184,0.9712358714728171,94.0,6528.143383264542
564_fried,0.9969545945086473,-0.006100264657377849,0.9602155031037983,90.5,8165.4087990522385
573_cpu_act,2.5845374827122702,1.899055470849693,0.9801593057475849,101.5,5212.661981701851
574_house_16H,40234.583747994984,21.20495422518314,0.44109256741129516,99.5,8986.707903027534
579_fri_c0_250_5,0.21990004722989584,-3.0291721183372053,0.9460430049686648,89.0,3060.854890584946
581_fri_c3_500_25,0.2389068453711913,-2.863959181075643,0.9414549982550915,90.5,2106.534618496895
582_fri_c1_500_25,0.1989630019906706,-3.2292769904274,0.9591813301109129,90.5,2137.4025473594666
583_fri_c1_1000_50,0.20664581587371594,-3.153511202582644,0.9568568708814733,92.0,2259.1779453754425
584_fri_c4_500_25,0.20487719915856517,-3.1707135690132993,0.9546799179943757,90.5,2106.5905950069427
586_fri_c3_1000_25,0.2121063518889458,-3.102729529125525,0.9552743126857282,91.5,2356.461508154869
588_fri_c4_1000_100,0.22054324782151785,-3.02359742349502,0.9522572043713207,87.5,2242.2510145902634
589_fri_c2_1000_25,0.2509977896784277,-2.765651253280919,0.9314168791584216,90.5,2413.21289396286
590_fri_c0_1000_50,0.20287910057190375,-3.19037376012695,0.9563561767880218,111.5,2225.860764145851
591_fri_c1_100_10,0.5076808359919114,-1.3558200508003069,0.6711466217306201,50.5,1864.5670447349548
592_fri_c4_1000_25,0.2172271632641138,-3.0546222085348047,0.9550336674016153,90.0,2340.237354874611
593_fri_c1_1000_10,0.18782834259294756,-3.344522697525403,0.9652842769976799,92.0,3007.7445447444916
594_fri_c2_100_5,0.6213942093894962,-0.9520147252649053,0.5982224805141408,45.0,2075.780163168907
595_fri_c0_1000_10,0.2178540861052079,-3.047861577258712,0.951166267857694,86.0,2745.4442522525787
596_fri_c2_250_5,0.25982995363216477,-2.695456140132544,0.9347150634566554,89.0,3065.0753502845764
597_fri_c2_500_5,0.2523018704689348,-2.75436436017416,0.932238814760949,88.5,3331.51080429554
598_fri_c0_1000_25,0.20456283099617845,-3.1737606926106334,0.9559523592882967,102.5,2340.292983531952
599_fri_c2_1000_5,0.19479108578223203,-3.2730201276879174,0.9580277928680014,90.5,3690.5467710494995
601_fri_c1_250_5,0.19538116901448085,-3.266017733528797,0.9576129972666494,89.0,3076.1720618009567
602_fri_c3_250_10,0.2549660340545261,-2.7332536205892954,0.9410007187825269,89.0,2283.5187845230103
603_fri_c0_250_50,0.24378562620340644,-2.8233287015565782,0.9365830680771123,117.5,1886.5889263153074
604_fri_c4_500_10,0.208056335144719,-3.140142937642825,0.9559807437818146,86.0,2575.689771294594
605_fri_c2_250_25,0.311793080554129,-2.34041056664715,0.9131071878822189,93.5,1953.6633752584457
606_fri_c2_1000_10,0.2170711837130232,-3.055063279427743,0.9547411504804244,94.5,2932.9742879867554
607_fri_c4_1000_50,0.2340286661308444,-2.9046309317770933,0.9490440627757193,92.0,2232.402019381523
608_fri_c3_1000_10,0.2033950862489997,-3.1852121346260365,0.9598833949992995,93.5,2792.3354148864746
609_fri_c0_1000_5,0.2002042311309677,-3.2168376290186,0.9610133350660273,87.5,3648.524801850319
611_fri_c3_100_5,0.3338942223381033,-2.193863998520657,0.8644815536345322,49.0,2036.2851358652115
612_fri_c1_1000_5,0.18909689482533384,-3.3317416741217483,0.9660128073012658,86.0,3718.623125553131
613_fri_c3_250_5,0.24235461830412444,-2.8359702897890697,0.937866544366218,87.0,2889.2244497537613
615_fri_c4_250_10,0.37437310121827083,-1.9650423908987875,0.8576842611032047,91.5,2275.9874114990234
616_fri_c4_500_50,0.23254711151733226,-2.917503877831664,0.9465060686109772,92.0,2031.3867086172104
617_fri_c3_500_5,0.2072225946759943,-3.148124930883608,0.9503147844701361,93.5,3155.187090277672
618_fri_c3_1000_50,0.2403427207631494,-2.851387332213103,0.9424931665155347,92.0,2235.7424161434174
620_fri_c1_1000_25,0.216936869147572,-3.056945686023539,0.9545527337168684,93.5,2425.8669261932373
621_fri_c0_100_10,0.45681010267633404,-1.566975016614351,0.7464960227361719,38.0,1629.872610926628
622_fri_c2_1000_50,0.22510464172393366,-2.9823967690133926,0.9502640654687674,93.5,2252.8670753240585
623_fri_c4_1000_10,0.20234567411323257,-3.1955747055200714,0.9588208491816956,87.5,2827.310100674629
624_fri_c0_100_5,0.4732497468458505,-1.4962816557933845,0.7537836319727338,41.0,1928.7545326948166
626_fri_c2_500_50,0.23288617771323966,-2.916079456826651,0.9440801759551536,92.0,2038.3833149671555
627_fri_c2_500_10,0.2828781532700988,-2.5257612317287483,0.9212335887797773,87.0,2625.140789628029
628_fri_c3_1000_5,0.19955741330606408,-3.2233707861107863,0.9563326297008646,89.0,3515.2803698778152
631_fri_c1_500_5,0.1916618003921489,-3.304062646301949,0.9652761249243125,89.0,3391.405324578285
633_fri_c0_500_25,0.2117474047706268,-3.104736176498819,0.9516723295803542,113.0,2147.072734594345
634_fri_c2_100_10,0.6087522410250811,-0.9946259990155728,0.6293778878099541,48.0,1651.8729268312454
635_fri_c0_250_10,0.24147700039819125,-2.84196648884899,0.9344049136415434,90.5,2361.0068315267563
637_fri_c1_500_50,0.231121108199462,-2.929627194816584,0.9403812221765622,89.0,2043.7043662071228
641_fri_c1_500_10,0.23255161413671885,-2.917295296930217,0.9417265482452214,89.0,2651.123389363289
643_fri_c2_500_25,0.24621034203531836,-2.803242077480607,0.9401847989291988,92.0,2128.3316212892532
644_fri_c4_250_25,0.20979345729952825,-3.123448345869957,0.9470040269885822,89.0,1942.2069853544235
645_fri_c3_500_50,0.2236689637746665,-2.995554291510384,0.9517114042006973,90.5,1986.6218585968018
646_fri_c3_500_10,0.22023952830850055,-3.0261979209030514,0.9534396900884243,89.0,2546.577591896057
647_fri_c1_250_10,0.24172218243610527,-2.8399372354741708,0.9396627209759769,92.0,2371.640143632889
648_fri_c1_250_50,0.3770722223081777,-1.9557512897294584,0.8583076199467806,84.5,1862.688691496849
649_fri_c0_500_5,0.20897845050790198,-3.1310489622576725,0.9533882708034914,90.5,3405.911842107773
650_fri_c0_500_50,0.2074885436034919,-3.1454594727419303,0.9518202589744185,110.0,2022.3612265586853
651_fri_c0_100_25,0.5822011956973865,-1.0858979075224315,0.6470234653347049,43.0,1507.190921664238
653_fri_c0_250_25,0.25046529212746205,-2.768925571580117,0.936651006591025,110.0,1965.8769050836565
654_fri_c0_500_10,0.21829795433152616,-3.0439709706324964,0.9487909926580858,87.5,2574.1891853809357
656_fri_c1_100_5,0.44046414140718804,-1.641252580290638,0.8120741950081927,47.5,2086.600134730339
657_fri_c2_250_10,0.2971157979576678,-2.4274032296631214,0.9090524051240054,91.5,2407.984634399414
658_fri_c3_250_25,0.2989310647885566,-2.4151915844022387,0.8836826829681559,92.0,1955.546399116516
659_sleuth_ex1714,1538.6056505986617,14.676764006316596,0.5671924737092023,58.0,3131.4313752651215
663_rabe_266,1.325804666445428,0.5565021394767888,0.9993513228763091,68.5,2563.596281528473
665_sleuth_case2002,9.851076903606856,4.574770307195596,0.009211582429696451,73.0,2156.6333953142166
666_rmftsa_ladata,1.7493364635112212,1.117770052415724,0.6411309986364895,105.0,3600.165949702263
678_visualizing_environmental,3.4774873642689057,2.4921971914737115,-0.08977063676618749,71.5,3178.643995285034
687_sleuth_ex1605,14.160721522476578,5.300940319034192,-0.38519272578308644,58.0,3167.241974711418
690_visualizing_galaxy,16.056488631580198,5.551796476841483,0.9704517578088196,106.0,3171.639525413513
695_chatfield_4,20.81659018710764,6.071492046983819,0.7861861777766836,89.5,2008.0166745185852
706_sleuth_case1202,63.0423484759052,8.286663963217315,0.5549193568361004,55.0,2568.9589236974716
712_chscase_geyser1,6.838646214836539,3.8447328162145835,0.7169633126041787,110.5,3141.900841355324
banana,0.570497297887391,-1.12250647935802,0.6675041499228378,86.0,7607.156893610954
titanic,0.7751100823889819,-0.5095028734683276,0.29418057574237555,74.0,4031.424150466919
