dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
1027_ESL,0.5470571716282195,-1.2076219681401195,0.8524295857215503,101.5,3456.3966730833054
1028_SWD,0.6370541456420693,-0.9018522726278257,0.35121057140697887,143.0,3717.5491168498993
1029_LEV,0.6456521269965847,-0.8749919514512183,0.5346226920093786,89.0,3577.998369693756
1030_ERA,1.5634153553535368,0.8937086549154786,0.373655481819705,93.0,3625.9849079847336
1089_USCrime,24.874022905549943,6.42659671005217,0.5728969265980041,67.0,3146.6228408813477
1096_FacultySalaries,1.7406230496597037,1.1068946569397176,0.6926184181097391,53.5,3090.993290781975
1191_BNG_pbc,894.5462625880095,13.592633196949699,0.34322705777172974,86.0,8170.183904051781
1193_BNG_lowbwt,461.98840299118825,12.27107955109771,0.5924116602718668,87.0,10886.077502965927
1196_BNG_pharynx,297.9258675568749,11.393689296246043,0.49190094016280356,94.0,10990.19011247158
1199_BNG_echoMonths,11.763163742791075,4.929939097778559,0.4482423407753397,92.0,9781.373932123184
1201_BNG_breastTumor,9.713512359804437,4.547034006170996,0.1165661775058808,89.0,10167.218671679497
1203_BNG_pwLinear,2.8291036180506195,2.0799116578918353,0.600639862074975,91.0,8880.335436820984
1595_poker,0.7401577433103979,-0.6017863340081555,0.0832180341155174,104.0,10144.811727643013
192_vineyard,3.5517159158752962,2.533132911899965,0.28883605803134316,52.0,3061.514485478401
195_auto_price,1956.5637053840994,15.157138562689152,0.8902122167894742,77.5,3298.0443103313446
197_cpu_act,2.5845374827122702,1.899055470849693,0.9801593057475849,101.5,5195.16966843605
201_pol,20.575600331326264,6.048177019731703,0.7567157023287924,71.0,5065.786196351051
207_autoPrice,2154.8560153396484,15.350918009446385,0.8495936552351254,80.5,3270.813846230507
210_cloud,0.428764000714465,-1.7067404342046988,0.7115340513489286,58.0,2763.0504182577133
215_2dplanes,1.1211383624108213,0.22868857744126742,0.9352308089227914,91.0,8920.748982310295
218_house_8L,33288.59792845094,20.825939530721833,0.60865691158463,89.0,10011.421869397162
225_puma8NH,3.1454374687395674,2.2918936117182085,0.683985744384458,86.0,6598.776687264442
227_cpu_small,3.1356701851618407,2.285684004201184,0.9712358714728171,94.0,6548.201143145561
228_elusage,14.788249229108194,5.38761072872644,0.5788603644059636,53.5,2872.7910850048065
229_pwLinear,1.6237684128207013,0.9690903508833038,0.8689389539630022,84.0,2033.1412128210068
230_machine_cpu,54.21307581340885,7.985624036455121,0.8478005829541202,97.0,3287.96519446373
294_satellite_image,0.9905017627547064,-0.01913516890416235,0.7994699511632595,135.5,6543.314514636993
344_mv,0.2016339899563681,-3.202603191353652,0.9996252669037315,86.5,7048.230312347412
4544_GeographicalOriginalofMusic,0.5216766723881872,-1.301489619262254,0.719629275414314,31.5,1822.6811335086825
485_analcatdata_vehicle,212.36954058519012,10.714252314469007,-0.05676802469154495,53.5,2081.463263988495
503_wind,3.1073096549447667,2.2675139579736645,0.78001753512088,87.5,5967.568301916122
505_tecator,0.9113537679317603,-0.1935488112827262,0.9958502065738197,84.0,2145.974340558052
519_vinnie,1.7679742775896607,1.139668757315489,0.6478485553012137,103.0,3281.9412331581116
522_pm10,0.859653473565577,-0.302458257654016,0.1066436713038859,109.0,3393.2710070610046
523_analcatdata_neavote,0.9716193587309461,-0.058442585934476494,0.9377463171409472,38.5,3005.91255736351
