algorithm,dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
TIRMOO2,1199_BNG_echoMonths,11.732565330540726,4.924736674020446,0.44552366261470533,92,9351.497083187103
TIRMOO2,560_bodyfat,0.7146969117465244,-0.6717934516283945,0.9941930204599383,77,3326.356940984726
TIRMOO2,1201_BNG_breastTumor,9.69801581607513,4.5438426190826,0.120825142499281,92,9412.438242673874
TIRMOO2,584_fri_c4_500_25,0.2336132927491492,-2.9081762515102487,0.9485525924468043,92,2134.05167555809
TIRMOO2,609_fri_c0_1000_5,0.20055521180706481,-3.2133313990684766,0.9554909590708033,86,3650.320140361786
TIRMOO2,595_fri_c0_1000_10,0.21446042188273068,-3.079260142011948,0.9539184305987327,77,2685.6077885627747
TIRMOO2,228_elusage,16.608536950418614,5.6198336745809705,0.6600806103839667,46,2959.6624422073364
TIRMOO2,641_fri_c1_500_10,0.21516832061320054,-3.0726693411545773,0.9557833897883227,95,2750.015317440033
TIRMOO2,596_fri_c2_250_5,0.29836323482649735,-2.418887251858445,0.9002950624038755,89,3087.7499701976776
TIRMOO2,4544_GeographicalOriginalofMusic,0.47739335406004757,-1.4788289725771535,0.7407903764615735,86,2136.0277540683746
TIRMOO2,603_fri_c0_250_50,0.2285141939734189,-2.952313905063053,0.9444831212773168,92,1913.6630063056946
TIRMOO2,597_fri_c2_500_5,0.2174096454377248,-3.0519438760807605,0.9514829590608188,92,3307.1916778087616
TIRMOO2,227_cpu_small,3.0944805362012118,2.259240104746796,0.9732831614140899,85,6502.0022752285
TIRMOO2,637_fri_c1_500_50,0.18595173853164074,-3.3645362183943277,0.9619243476507827,80,1997.0762212276459
TIRMOO2,584_fri_c4_500_25,0.1961391377001149,-3.2578619707531744,0.9655356755906497,95,2123.395426750183
TIRMOO2,615_fri_c4_250_10,0.3585678893571664,-2.0512745325579846,0.8766283247427641,92,2292.219824075699
TIRMOO2,706_sleuth_case1202,51.99341245592437,7.902234054032948,0.641908954618222,88,2427.1739144325256
TIRMOO2,602_fri_c3_250_10,0.31643519551144883,-2.3012736237621976,0.8971499946938255,86,2146.1668310165405
