dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
*TIRMOO-points,620_fri_c1_1000_25,0.216936869147572,-3.056945686023539,0.9545527337168684,93.5,2402.8724793195724
*TIRMOO-points,621_fri_c0_100_10,0.4763999744174344,-1.4835318795277483,0.6836813453121936,32.0,1960.9478182792664
*TIRMOO-points,622_fri_c2_1000_50,0.22510464172393366,-2.9823967690133926,0.9502640654687674,93.5,2252.8670753240585
*TIRMOO-points,623_fri_c4_1000_10,0.20234567411323257,-3.1955747055200714,0.9588208491816956,87.5,2827.310100674629
*TIRMOO-points,624_fri_c0_100_5,0.46924105331072774,-1.5134405523489727,0.7587715645539771,32.0,2160.0337055921555
*TIRMOO-points,626_fri_c2_500_50,0.23288617771323966,-2.916079456826651,0.9440801759551536,92.0,2033.910974264145
*TIRMOO-points,627_fri_c2_500_10,0.2828781532700988,-2.5257612317287483,0.9212335887797773,87.0,2625.140789628029
*TIRMOO-points,628_fri_c3_1000_5,0.19955741330606408,-3.2233707861107863,0.9563326297008646,89.0,3515.2803698778152
*TIRMOO-points,631_fri_c1_500_5,0.1916618003921489,-3.304062646301949,0.9652761249243125,89.0,3391.405324578285
*TIRMOO-points,633_fri_c0_500_25,0.2117474047706268,-3.104736176498819,0.9516723295803542,113.0,2147.7988624572754
*TIRMOO-points,634_fri_c2_100_10,0.6087522410250811,-0.9946259990155728,0.6293778878099541,48.0,1651.8729268312454
*TIRMOO-points,635_fri_c0_250_10,0.24147700039819125,-2.84196648884899,0.9344049136415434,90.5,2361.0068315267563
*TIRMOO-points,637_fri_c1_500_50,0.231121108199462,-2.929627194816584,0.9403812221765622,89.0,2043.7043662071228
*TIRMOO-points,641_fri_c1_500_10,0.23255161413671885,-2.917295296930217,0.9417265482452214,89.0,2657.16264796257
*TIRMOO-points,643_fri_c2_500_25,0.24621034203531836,-2.803242077480607,0.9401847989291988,92.0,2124.047997355461
*TIRMOO-points,644_fri_c4_250_25,0.20979345729952825,-3.123448345869957,0.9470040269885822,89.0,1942.2069853544235
*TIRMOO-points,645_fri_c3_500_50,0.2236689637746665,-2.995554291510384,0.9517114042006973,90.5,1986.6218585968018
*TIRMOO-points,646_fri_c3_500_10,0.22023952830850055,-3.0261979209030514,0.9534396900884243,89.0,2532.7255190610886
*TIRMOO-points,647_fri_c1_250_10,0.24172218243610527,-2.8399372354741708,0.9396627209759769,92.0,2365.124936580658
*TIRMOO-points,648_fri_c1_250_50,0.3770722223081777,-1.9557512897294584,0.8583076199467806,84.5,1856.6844601631165
*TIRMOO-points,649_fri_c0_500_5,0.20897845050790198,-3.1310489622576725,0.9533882708034914,90.5,3390.546643257141
*TIRMOO-points,650_fri_c0_500_50,0.2074885436034919,-3.1454594727419303,0.9518202589744185,110.0,2022.3612265586853
*TIRMOO-points,651_fri_c0_100_25,0.5822011956973865,-1.0858979075224315,0.6470234653347049,43.0,1507.190921664238
*TIRMOO-points,653_fri_c0_250_25,0.25046529212746205,-2.768925571580117,0.936651006591025,110.0,1965.8769050836565
*TIRMOO-points,654_fri_c0_500_10,0.21829795433152616,-3.0439709706324964,0.9487909926580858,87.5,2574.1891853809357
*TIRMOO-points,656_fri_c1_100_5,0.4802629753313727,-1.4668530141950495,0.7651433911234062,29.0,1980.2547854185104
*TIRMOO-points,657_fri_c2_250_10,0.2971157979576678,-2.4274032296631214,0.9090524051240054,91.5,2394.586973667145
*TIRMOO-points,658_fri_c3_250_25,0.2989310647885566,-2.4151915844022387,0.8836826829681559,92.0,1955.546399116516
*TIRMOO-points,659_sleuth_ex1714,1183.101352211408,14.15178161326136,0.7050178556052455,17.0,3590.1741111278534
*TIRMOO-points,663_rabe_266,6.635586668022785,3.7848352514219816,0.9834569268161708,20.0,2672.029045820236
*TIRMOO-points,665_sleuth_case2002,9.851076903606856,4.574770307195596,0.009211582429696451,73.0,2156.6333953142166
*TIRMOO-points,666_rmftsa_ladata,1.7493364635112212,1.117770052415724,0.6411309986364895,105.0,3600.6954218149185
*TIRMOO-points,678_visualizing_environmental,3.148964929312199,2.293798797038081,0.1004512333748909,24.0,3646.5539821386337
*TIRMOO-points,687_sleuth_ex1605,12.137415114561577,4.992581552433946,0.15532658847921588,20.0,3623.46131169796
*TIRMOO-points,690_visualizing_galaxy,21.882171198955156,6.170819146341607,0.9428140583481024,20.0,3583.348080277443
*TIRMOO-points,695_chatfield_4,20.81659018710764,6.071492046983819,0.7861861777766836,89.5,2008.0166745185852
*TIRMOO-points,706_sleuth_case1202,52.99928863461936,7.940516275758643,0.6028171622258995,23.0,2859.9434500932693
*TIRMOO-points,712_chscase_geyser1,6.050793858303234,3.5998654569550106,0.7654154922018335,14.0,3910.4702299833293
*TIRMOO-points,banana,0.570497297887391,-1.12250647935802,0.6675041499228378,86.0,7607.156893610954
*TIRMOO-points,titanic,0.7751100823889819,-0.5095028734683276,0.29418057574237555,74.0,4027.695175051689
