dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
*TIRMOO-points,1027_ESL,0.5470571716282195,-1.2076219681401195,0.8524295857215503,101.5,3461.6593161821365
*TIRMOO-points,1028_SWD,0.6370541456420693,-0.9018522726278257,0.35121057140697887,143.0,3719.0203006267548
*TIRMOO-points,1029_LEV,0.6456521269965847,-0.8749919514512183,0.5346226920093786,89.0,3577.998369693756
*TIRMOO-points,1030_ERA,1.5634153553535368,0.8937086549154786,0.373655481819705,93.0,3613.355705022812
*TIRMOO-points,1089_USCrime,19.732613731692044,5.964352518488907,0.7579022547689476,17.0,3551.306034564972
*TIRMOO-points,1096_FacultySalaries,2.185569001122828,1.5633133759503672,0.7030798496854944,14.0,3762.967227458954
*TIRMOO-points,1191_BNG_pbc,894.5462625880095,13.592633196949699,0.34322705777172974,86.0,8181.185032010078
*TIRMOO-points,1193_BNG_lowbwt,461.98840299118825,12.27107955109771,0.5924116602718668,87.0,11065.457724690437
*TIRMOO-points,1196_BNG_pharynx,297.9258675568749,11.393689296246043,0.49190094016280356,94.0,10990.19011247158
*TIRMOO-points,1199_BNG_echoMonths,11.763163742791075,4.929939097778559,0.4482423407753397,92.0,9781.373932123184
*TIRMOO-points,1201_BNG_breastTumor,9.713512359804437,4.547034006170996,0.1165661775058808,89.0,10167.218671679497
*TIRMOO-points,1203_BNG_pwLinear,2.8294189722323724,2.080133933169808,0.600639862074975,91.0,8976.857730031013
*TIRMOO-points,1595_poker,0.7401577433103979,-0.6017863340081555,0.0832180341155174,104.0,10144.811727643013
*TIRMOO-points,192_vineyard,2.9255361917578284,2.1468273621466527,0.45533275353631814,18.5,3519.048599600792
*TIRMOO-points,195_auto_price,1956.5637053840994,15.157138562689152,0.8902122167894742,77.5,3298.0443103313446
*TIRMOO-points,197_cpu_act,2.5845374827122702,1.899055470849693,0.9801593057475849,101.5,5199.85310447216
*TIRMOO-points,201_pol,20.575600331326264,6.048177019731703,0.7567157023287924,71.0,5075.291401028633
*TIRMOO-points,207_autoPrice,2154.8560153396484,15.350918009446385,0.8495936552351254,80.5,3270.447126150131
*TIRMOO-points,210_cloud,0.4440685817586443,-1.6236307704067257,0.7737372483475808,20.0,3093.4364895820618
*TIRMOO-points,215_2dplanes,1.1211383624108213,0.22868857744126742,0.9352308089227914,91.0,8920.748982310295
*TIRMOO-points,218_house_8L,33288.59792845094,20.825939530721833,0.60865691158463,87.5,9974.554025053978
*TIRMOO-points,225_puma8NH,3.1454374687395674,2.2918936117182085,0.683985744384458,86.0,6631.9028705358505
*TIRMOO-points,227_cpu_small,3.1356701851618407,2.285684004201184,0.9712358714728171,94.0,6504.185875654221
*TIRMOO-points,228_elusage,11.156720375180603,4.823516443704403,0.6966070451254552,14.0,3287.8219178915024
*TIRMOO-points,229_pwLinear,1.6237684128207013,0.9690903508833038,0.8689389539630022,84.0,2033.1412128210068
*TIRMOO-points,230_machine_cpu,59.482435409773515,8.166564160298986,0.8648768119068808,20.0,3717.4823812246323
*TIRMOO-points,294_satellite_image,0.9830444170084399,-0.034202324413852195,0.8031447592051493,125.0,6656.860404253006
*TIRMOO-points,344_mv,0.2016339899563681,-3.202603191353652,0.9996252669037315,86.5,7021.8896206617355
*TIRMOO-points,4544_GeographicalOriginalofMusic,0.5216766723881872,-1.301489619262254,0.719629275414314,31.5,1819.82746052742
*TIRMOO-points,485_analcatdata_vehicle,221.15351074359114,10.78160374168322,0.39550742601937106,28.0,2201.638521552086
*TIRMOO-points,503_wind,3.1073096549447667,2.2675139579736645,0.78001753512088,87.5,5966.3893045187
*TIRMOO-points,505_tecator,0.9113537679317603,-0.1935488112827262,0.9958502065738197,84.0,2137.9679803848267
*TIRMOO-points,519_vinnie,1.7679742775896607,1.139668757315489,0.6478485553012137,103.0,3281.9412331581116
*TIRMOO-points,522_pm10,0.859653473565577,-0.302458257654016,0.1066436713038859,109.0,3390.909829378128
*TIRMOO-points,523_analcatdata_neavote,0.9728889828066285,-0.05513626820030255,0.9377945599444014,11.0,3632.668364882469
*TIRMOO-points,527_analcatdata_election2000,1854.728622705094,14.987997832377307,0.9992731631223519,14.0,2820.372290611267
*TIRMOO-points,529_pollen,1.4438735392988278,0.7346448090877937,0.7828600177463358,103.0,5606.929916381836
*TIRMOO-points,537_houses,61844.78007421989,22.064757561305402,0.7125560288023887,92.0,10579.859030008316
*TIRMOO-points,542_pollution,39.04268138144441,7.328243511952399,0.4675980429427888,23.0,3594.628459095955
*TIRMOO-points,547_no2,0.5496085437561156,-1.1972038557604647,0.41602743039280005,101.5,3405.502655506134
*TIRMOO-points,556_analcatdata_apnea2,1331.3707024962841,14.381677026480343,0.8399790768017983,83.5,3511.7777411937714
*TIRMOO-points,557_analcatdata_apnea1,1502.9546970512633,14.60763829964706,0.8365319841492963,83.5,3497.2858097553253
*TIRMOO-points,560_bodyfat,0.6705159677669015,-0.8025506916296231,0.9936633040355922,90.5,3335.9006955623627
*TIRMOO-points,561_cpu,7.432932905616134,3.995012584015056,0.9956530760068049,88.0,3241.6798375844955
*TIRMOO-points,562_cpu_small,3.1356701851618407,2.285684004201184,0.9712358714728171,94.0,6528.143383264542
*TIRMOO-points,564_fried,0.9969545945086473,-0.006100264657377849,0.9602155031037983,90.5,8165.4087990522385
*TIRMOO-points,573_cpu_act,2.5845374827122702,1.899055470849693,0.9801593057475849,101.5,5212.661981701851
*TIRMOO-points,574_house_16H,40234.583747994984,21.20495422518314,0.44109256741129516,99.5,9078.162791609764
*TIRMOO-points,579_fri_c0_250_5,0.4311984957980758,-1.6823735004559166,0.7921511397392237,41.0,3069.341392993927
*TIRMOO-points,581_fri_c3_500_25,0.2389068453711913,-2.863959181075643,0.9414549982550915,90.5,2106.534618496895
*TIRMOO-points,582_fri_c1_500_25,0.1989630019906706,-3.2292769904274,0.9591813301109129,90.5,2137.4025473594666
*TIRMOO-points,583_fri_c1_1000_50,0.20664581587371594,-3.153511202582644,0.9568568708814733,92.0,2259.1779453754425
*TIRMOO-points,584_fri_c4_500_25,0.20487719915856517,-3.1707135690132993,0.9546799179943757,90.5,2106.5905950069427
*TIRMOO-points,586_fri_c3_1000_25,0.2121063518889458,-3.102729529125525,0.9552743126857282,91.5,2369.970359683037
*TIRMOO-points,588_fri_c4_1000_100,0.22054324782151785,-3.02359742349502,0.9522572043713207,87.5,2242.2510145902634
*TIRMOO-points,589_fri_c2_1000_25,0.2509977896784277,-2.765651253280919,0.9314168791584216,90.5,2428.8181142807007
*TIRMOO-points,590_fri_c0_1000_50,0.20287910057190375,-3.19037376012695,0.9563561767880218,111.5,2222.533169865608
*TIRMOO-points,591_fri_c1_100_10,0.5076808359919114,-1.3558200508003069,0.6711466217306201,50.5,1864.5670447349548
*TIRMOO-points,592_fri_c4_1000_25,0.2172271632641138,-3.0546222085348047,0.9550336674016153,90.0,2338.9102524518967
*TIRMOO-points,593_fri_c1_1000_10,0.18782834259294756,-3.344522697525403,0.9652842769976799,92.0,2992.3142824172974
*TIRMOO-points,594_fri_c2_100_5,0.6069937662967726,-1.0005864710482084,0.595482754644274,38.0,2167.5628913640976
*TIRMOO-points,595_fri_c0_1000_10,0.2178540861052079,-3.047861577258712,0.951166267857694,86.0,2745.4442522525787
*TIRMOO-points,596_fri_c2_250_5,0.47346540662693654,-1.4959492431451489,0.7534007388015628,35.0,3046.357773900032
*TIRMOO-points,597_fri_c2_500_5,0.2523018704689348,-2.75436436017416,0.932238814760949,88.5,3325.4141409397125
*TIRMOO-points,598_fri_c0_1000_25,0.20456283099617845,-3.1737606926106334,0.9559523592882967,102.5,2345.736558675766
*TIRMOO-points,599_fri_c2_1000_5,0.19479108578223203,-3.2730201276879174,0.9580277928680014,90.5,3690.5467710494995
*TIRMOO-points,601_fri_c1_250_5,0.511685802015479,-1.3409399692318154,0.7379377232086108,35.0,3092.9385133981705
*TIRMOO-points,602_fri_c3_250_10,0.2549660340545261,-2.7332536205892954,0.9410007187825269,89.0,2308.255885720253
*TIRMOO-points,603_fri_c0_250_50,0.24378562620340644,-2.8233287015565782,0.9365830680771123,117.5,1896.078126192093
*TIRMOO-points,604_fri_c4_500_10,0.208056335144719,-3.140142937642825,0.9559807437818146,86.0,2575.689771294594
*TIRMOO-points,605_fri_c2_250_25,0.311793080554129,-2.34041056664715,0.9131071878822189,93.5,1960.1932156085968
*TIRMOO-points,606_fri_c2_1000_10,0.2170711837130232,-3.055063279427743,0.9547411504804244,94.5,2930.6127967834473
*TIRMOO-points,607_fri_c4_1000_50,0.2340286661308444,-2.9046309317770933,0.9490440627757193,92.0,2235.364255428314
*TIRMOO-points,608_fri_c3_1000_10,0.2033950862489997,-3.1852121346260365,0.9598833949992995,93.5,2792.3354148864746
*TIRMOO-points,609_fri_c0_1000_5,0.2002042311309677,-3.2168376290186,0.9610133350660273,87.5,3656.4452394247055
*TIRMOO-points,611_fri_c3_100_5,0.40159038446327533,-1.8246833908686118,0.805664167653679,35.0,2087.4812183380127
*TIRMOO-points,612_fri_c1_1000_5,0.18909689482533384,-3.3317416741217483,0.9660128073012658,86.0,3718.623125553131
*TIRMOO-points,613_fri_c3_250_5,0.5026734679795233,-1.3757650394882206,0.7562774931722402,32.0,2901.8625823259354
*TIRMOO-points,615_fri_c4_250_10,0.37437310121827083,-1.9650423908987875,0.8576842611032047,91.5,2275.9874114990234
*TIRMOO-points,616_fri_c4_500_50,0.23254711151733226,-2.917503877831664,0.9465060686109772,92.0,2030.279467701912
*TIRMOO-points,617_fri_c3_500_5,0.2072225946759943,-3.148124930883608,0.9503147844701361,93.5,3155.187090277672
*TIRMOO-points,618_fri_c3_1000_50,0.2403427207631494,-2.851387332213103,0.9424931665155347,92.0,2232.6841881275177
