algorithm,dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
TIRMOO4,666_rmftsa_ladata,1.7862611470492504,1.160249381435812,0.64165370159879,44,3470.4397161006927
TIRMOO4,519_vinnie,1.6168792779386008,0.9609958395225799,0.7841468459203434,8,3718.3697810173035
TIRMOO4,631_fri_c1_500_5,0.317691577555717,-2.2933484974840126,0.9149784886991742,65,3329.7275302410126
TIRMOO4,622_fri_c2_1000_50,0.3123927823883134,-2.3269879300681984,0.9112059526730321,71,2243.2134759426117
TIRMOO4,547_no2,0.5539963143482473,-1.1811944901159617,0.3918494823114804,64,3334.1446816921234
TIRMOO4,618_fri_c3_1000_50,0.32567215444897524,-2.243728129662797,0.893587882383172,62,2216.543559551239
TIRMOO4,645_fri_c3_500_50,0.30025887309529914,-2.406220532202681,0.9240668184841254,53,1977.615739107132
TIRMOO4,519_vinnie,1.612488391707663,0.9555571414417874,0.7293729409426538,8,3704.254179239273
TIRMOO4,596_fri_c2_250_5,0.45321143790562113,-1.5827930240992545,0.8091439633923275,35,2940.2230594158173
TIRMOO4,633_fri_c0_500_25,0.31296317400857115,-2.3233395005771205,0.8928869377193869,50,2154.613671541214
TIRMOO4,595_fri_c0_1000_10,0.32165040587731514,-2.2685800385315606,0.8830673665085946,50,2860.4950551986694
TIRMOO4,620_fri_c1_1000_25,0.29398288084935437,-2.4484674834847024,0.9235913500369355,62,2360.156275510788
TIRMOO4,603_fri_c0_250_50,0.5725058488515635,-1.1154646545426399,0.7093222606897508,32,1590.5614714622498
TIRMOO4,622_fri_c2_1000_50,0.28409244930701283,-2.5169111361280345,0.9238939040727687,71,2217.747638940811
TIRMOO4,678_visualizing_environmental,2.1756425401675004,1.5546480833583838,0.4306568210623861,23,3558.63063120842
TIRMOO4,599_fri_c2_1000_5,0.28248124367101524,-2.5282862493694562,0.9213162741346881,68,3745.253707885742
TIRMOO4,611_fri_c3_100_5,0.3262510725533523,-2.240176065661568,0.7746848774012162,35,2061.393096923828
TIRMOO4,207_autoPrice,2926.4227115442022,15.96307207704471,0.794246377685881,26,3222.854728937149
TIRMOO4,641_fri_c1_500_10,0.2967260142420959,-2.4298921538478617,0.9207342735740258,68,2629.57093501091
TIRMOO4,522_pm10,0.8322484870134631,-0.3672484409516617,0.14239847854808985,95,3357.122488975525
TIRMOO4,620_fri_c1_1000_25,0.39643734525562163,-1.8504745398509714,0.8112155426744021,62,2437.732709169388
TIRMOO4,522_pm10,0.8924537233219904,-0.22756123458450275,0.1912162697527542,86,3362.0917172431946
TIRMOO4,522_pm10,0.8128167058990543,-0.414499297703206,0.14044166500863842,89,3369.845573425293
TIRMOO4,582_fri_c1_500_25,0.32402520228399406,-2.2538679627754967,0.8988590731905588,59,2111.6533341407776
TIRMOO4,621_fri_c0_100_10,0.5531329962249152,-1.1843136137452253,0.6472830315780166,32,1713.2175889015198
TIRMOO4,626_fri_c2_500_50,0.43804363844422384,-1.6508734848346969,0.7569029186262513,65,2039.100876569748
TIRMOO4,582_fri_c1_500_25,0.3132748679513354,-2.3213486028825163,0.9008944184879488,59,2144.539503097534
TIRMOO4,1089_USCrime,16.448530836600053,5.600472324755897,0.8656016392741488,14,3516.922397851944
TIRMOO4,584_fri_c4_500_25,0.3798716902005099,-1.9358434812957381,0.8293066212335837,62,2091.028473377228
TIRMOO4,641_fri_c1_500_10,0.3272820120237288,-2.233866115332449,0.8794010246300501,59,2391.0948202610016
TIRMOO4,609_fri_c0_1000_5,0.293813172283066,-2.449622364128079,0.9183907489912121,50,3629.8815972805023
TIRMOO4,505_tecator,1.938914570794128,1.3242566338125574,0.9841866066194562,8,2149.0613701343536
TIRMOO4,712_chscase_geyser1,5.83071550197788,3.52627944088794,0.7850548880288054,8,3731.957546710968
TIRMOO4,653_fri_c0_250_25,0.2981337066206486,-2.420426426336828,0.9192839583141807,50,1964.5222475528717
TIRMOO4,626_fri_c2_500_50,0.3182906089003029,-2.289580898111001,0.912307256485347,68,2026.3104948997498
TIRMOO4,687_sleuth_ex1605,8.963580409070902,4.386339492789988,0.40770817865150477,17,3575.082509994507
TIRMOO4,695_chatfield_4,13.858480606099697,5.257794726746069,0.8729629098763173,14,1855.6302227973938
TIRMOO4,210_cloud,0.2675501497476564,-2.6368965090505476,0.8316465888136948,14,3041.807592153549
TIRMOO4,616_fri_c4_500_50,0.24763627692444665,-2.791588469338842,0.9352843086974932,62,1967.031572818756
TIRMOO4,616_fri_c4_500_50,0.2823766929313844,-2.5290266177633476,0.9034459904835941,59,1991.1611473560333
TIRMOO4,608_fri_c3_1000_10,0.2998689756390536,-2.408819295195774,0.9088668468758615,62,2885.298637151718
TIRMOO4,690_visualizing_galaxy,30.777325098673167,6.853556441515215,0.8695093226595356,14,3627.1697154045105
TIRMOO4,557_analcatdata_apnea1,2141.4439761940675,15.338471271403623,0.47165487874225476,28,3458.083773136139
TIRMOO4,595_fri_c0_1000_10,0.2802861543481165,-2.5438884357280585,0.919757367065738,50,2946.1109733581543
TIRMOO4,690_visualizing_galaxy,32.02899924754477,6.933283437820378,0.8822873581496772,14,3635.194142103195
TIRMOO4,659_sleuth_ex1714,1214.234426793789,14.203738111546082,0.6027710909820795,14,3518.188954114914
TIRMOO4,596_fri_c2_250_5,0.4938535691926147,-1.4110324487466688,0.7106945662968044,32,2966.8314216136932
TIRMOO4,651_fri_c0_100_25,0.6387685238938008,-0.8964262753191855,0.706950517277519,35,1501.6445083618164
TIRMOO4,657_fri_c2_250_10,0.32636305587246967,-2.239489697927014,0.8721213931303433,65,2405.895796060562
