algorithm,dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
TIRMOO,574_house_16H,155662.02392082437,23.91088484523679,-7.7568762241762155,98,882.2206037044525
TIRMOO,1203_BNG_pwLinear,2.8561866853048756,2.0989748166883633,0.5937838520216738,91,492.5535192489624
TIRMOO,583_fri_c1_1000_50,0.5008187192560895,-1.3830221623771317,0.763486368547705,50,24.59477972984314
TIRMOO,505_tecator,0.6700451337529073,-0.8008204101113108,0.9978232498548595,77,140.03262591362
TIRMOO,634_fri_c2_100_10,0.8154542711465327,-0.4080198662287201,0.4687266075857557,41,39.261534214019775
TIRMOO,650_fri_c0_500_50,0.41338288091508124,-1.7667620861074635,0.8112418878137682,55,20.21855092048645
TIRMOO,519_vinnie,1.7782962460579295,1.1513114815858665,0.7388972582734514,106,320.39813590049744
TIRMOO,1030_ERA,1.5810526844608417,0.916181762353526,0.3907169286444866,85,338.8251667022705
TIRMOO,644_fri_c4_250_25,0.5629057916739904,-1.1492859951447765,0.7026906810897705,49,38.72326326370239
TIRMOO,197_cpu_act,2.7007813910662253,1.9870822704791944,0.9786328138146483,82,405.50219202041626
TIRMOO,581_fri_c3_500_25,0.4072455607391467,-1.7966778642770613,0.8605949936776407,52,42.5548460483551
TIRMOO,1029_LEV,0.6372585255067335,-0.9011597144500062,0.5479276187893898,89,319.4907932281494
TIRMOO,1203_BNG_pwLinear,2.8430892136739594,2.089782424587969,0.5948619054852944,83,526.5330617427826
TIRMOO,557_analcatdata_apnea1,1520.9789695586378,14.654218930887087,0.7933122044468995,100,427.14600348472595
TIRMOO,529_pollen,1.38518426146684,0.6516663431208897,0.8117178279769102,97,453.55725598335266
TIRMOO,201_pol,20.048897980326913,5.996348377334616,0.764367099680188,80,292.49778842926025
TIRMOO,608_fri_c3_1000_10,0.3224445545435562,-2.2636481628457337,0.8987549439416463,70,133.92312121391296
TIRMOO,592_fri_c4_1000_25,0.4798736638366756,-1.468464820127496,0.7655081819467975,49,50.339317321777344
TIRMOO,594_fri_c2_100_5,0.7303199343582145,-0.6285451492123402,0.36567318243826497,44,63.783358097076416
TIRMOO,581_fri_c3_500_25,0.3736820109002729,-1.968700162919417,0.8230034541515027,59,44.987961292266846
TIRMOO,658_fri_c3_250_25,0.3804852185890907,-1.9326158995396419,0.8310481599884388,70,41.65246391296387
TIRMOO,634_fri_c2_100_10,0.6574944998749493,-0.838637760348817,0.5822539944068554,52,31.510155200958252
TIRMOO,599_fri_c2_1000_5,0.20729969474447366,-3.1471794641435276,0.9576672697015941,92,272.22204065322876
TIRMOO,644_fri_c4_250_25,0.4775902341256566,-1.4780043298468117,0.6261118774844842,65,40.14672541618347
TIRMOO,618_fri_c3_1000_50,0.5461729478745073,-1.2096391980887702,0.6897467661408997,35,19.5265691280365
TIRMOO,659_sleuth_ex1714,910.0225159875008,13.626938684096409,0.7965681796633137,49,286.5901336669922
TIRMOO,623_fri_c4_1000_10,0.21851075637335832,-3.0418400748096137,0.9513285433788686,80,137.92682433128357
TIRMOO,197_cpu_act,2.7186095095847977,2.000241079768401,0.978687363030437,76,339.5321385860443
TIRMOO,609_fri_c0_1000_5,0.2055545441849159,-3.164087716879161,0.9586046980360743,89,272.8729646205902
TIRMOO,1193_BNG_lowbwt,459.2000806160416,12.258972041125846,0.5977443572125962,97,1059.3838160037994
TIRMOO,645_fri_c3_500_50,0.5570387364673082,-1.170240993296743,0.7386571094758172,38,17.1015625
TIRMOO,229_pwLinear,1.6453163563397837,0.9958653592235154,0.8429381818362413,79,66.23812747001648
TIRMOO,505_tecator,0.691093581151141,-0.7389600716013464,0.9973532166052204,85,140.10087943077087
TIRMOO,611_fri_c3_100_5,0.45781099265970115,-1.5625977196519993,0.7054285726495075,52,68.56712174415588
TIRMOO,599_fri_c2_1000_5,0.25931527482688776,-2.6994213604801183,0.936586578232762,92,260.93518590927124
TIRMOO,603_fri_c0_250_50,0.4553743453136087,-1.5732709226814519,0.8115253606013352,46,13.898970365524292
TIRMOO,687_sleuth_ex1605,12.20423037008876,5.003565286562744,0.00528359686146318,58,292.60624384880066
TIRMOO,1096_FacultySalaries,0.19294557191644046,-3.290694281290838,0.9968382997411219,49,278.2987687587738
TIRMOO,650_fri_c0_500_50,0.43679824729700795,-1.6565677343158345,0.8013683371661449,35,20.262518167495728
TIRMOO,542_pollution,39.991809409604734,7.377349336773778,0.4910352561865461,79,297.3092465400696
TIRMOO,562_cpu_small,3.1242975470813303,2.278418945972941,0.9727658182452145,106,639.8808836936951
TIRMOO,titanic,0.8117001119138427,-0.4172486546782955,0.2532863005099054,77,2174.141362428665
TIRMOO,613_fri_c3_250_5,0.2597074179526323,-2.6963991943527614,0.9259031052483776,82,220.2829601764679
TIRMOO,192_vineyard,28.52508429129718,6.70156770148209,-32.396962554105144,58,246.038480758667
TIRMOO,1203_BNG_pwLinear,2.8537106070845817,2.0972402297081016,0.5968326532411969,88,537.5579044818878
TIRMOO,1191_BNG_pbc,896.1070618703536,13.596119789062632,0.343397824859592,80,646.3219003677368
TIRMOO,612_fri_c1_1000_5,0.21617673898902137,-3.0633179396206387,0.9491672586234605,80,313.9127461910248
TIRMOO,574_house_16H,40724.35955447845,21.229163414488315,0.43718734695659034,83,759.4734175205231
TIRMOO,645_fri_c3_500_50,0.4826727313361833,-1.4568328597209825,0.7545546433219692,50,21.71255397796631
TIRMOO,631_fri_c1_500_5,0.3000706603712481,-2.4074745949780425,0.9118066050508802,86,242.98023867607117
TIRMOO,591_fri_c1_100_10,0.5778736098273918,-1.0968002046796357,0.5108298156539212,46,40.40716075897217
TIRMOO,1203_BNG_pwLinear,2.8451978173831343,2.091265193508908,0.5949474803894044,80,543.3526401519775
TIRMOO,647_fri_c1_250_10,0.3679750063766653,-1.9994805211488296,0.8516593896796274,79,113.65450119972229
TIRMOO,641_fri_c1_500_10,0.3033138137207717,-2.3859746411620146,0.9094191239510575,89,128.1572606563568
TIRMOO,207_autoPrice,2835.5613117387957,15.899990380244745,0.8250537146431697,76,301.9226248264313
TIRMOO,537_houses,62493.85583775824,22.085647048592428,0.6998923202601679,80,1061.7659044265747
TIRMOO,294_satellite_image,0.9610092282774267,-0.07954253454373392,0.8063736163899794,134,680.9518048763275
TIRMOO,618_fri_c3_1000_50,0.4672335437785326,-1.5218521051485212,0.7814298369010608,47,18.06053352355957
TIRMOO,229_pwLinear,1.8036859452809033,1.1796646370071988,0.8823888853140484,73,60.832404136657715
TIRMOO,602_fri_c3_250_10,0.2564175411743157,-2.721896285918685,0.9417609066235496,86,111.47261762619019
TIRMOO,591_fri_c1_100_10,1.1958930622195514,0.3577864773419302,-0.03597805427235956,40,28.22990846633911
TIRMOO,637_fri_c1_500_50,0.6104651907301105,-0.9870680093960836,0.6302924243939254,37,16.95458960533142
TIRMOO,527_analcatdata_election2000,2271.5698418855554,15.45645286351964,0.9994017881364813,46,137.36895775794983
TIRMOO,586_fri_c3_1000_25,0.4077945646907241,-1.7939834986011618,0.8434376547779474,52,50.36203598976135
TIRMOO,1096_FacultySalaries,1.9086318679173144,1.292773371747467,0.703199452663088,43,280.41305136680603
TIRMOO,706_sleuth_case1202,70.78456385989276,8.519281904702149,0.5823388245524566,43,286.9574992656708
TIRMOO,607_fri_c4_1000_50,0.43971191877860233,-1.6432709930955605,0.7798372675784807,59,21.023818492889404
TIRMOO,646_fri_c3_500_10,0.29686645158156033,-2.4289457985608895,0.9061250649707678,76,124.13793802261353
TIRMOO,542_pollution,41.937842005648726,7.47237713965178,0.017795381272380117,100,296.3652386665344
TIRMOO,592_fri_c4_1000_25,0.4090078109226773,-1.7880420510224688,0.8386804485076571,64,44.212114572525024
TIRMOO,529_pollen,1.4209749602520647,0.7026864554874171,0.7928679363427671,100,435.6401844024658
TIRMOO,678_visualizing_environmental,2.8135412117913576,2.068887815314313,0.21246785343851948,73,291.81837821006775
TIRMOO,207_autoPrice,3182.8382977910924,16.131057248333317,0.7463357962395873,127,307.2278904914856
TIRMOO,647_fri_c1_250_10,0.4380984255950448,-1.6506233557602414,0.7810461608931023,86,118.7285783290863
TIRMOO,1201_BNG_breastTumor,9.753414103173979,4.555234776289202,0.11778236123533226,86,813.3888516426086
TIRMOO,4544_GeographicalOriginalofMusic,0.5748351348346087,-1.1073440026483463,0.6325713462271556,20,7.1291985511779785
TIRMOO,631_fri_c1_500_5,0.27789057285651103,-2.561055731199205,0.9300300106176961,83,254.44705390930176
TIRMOO,1030_ERA,1.545833299679938,0.871126234990106,0.3675922912760351,100,324.2432498931885
TIRMOO,659_sleuth_ex1714,4041.3563454516748,16.608671287365997,-0.18587787517499987,61,288.0000455379486
TIRMOO,618_fri_c3_1000_50,0.5373536579034435,-1.242197640833354,0.6579563028702776,49,21.86017417907715
TIRMOO,666_rmftsa_ladata,1.5197470248655707,0.8370877799950295,0.7977690487372266,98,326.73339653015137
TIRMOO,197_cpu_act,2.6240015804791823,1.9294009467968456,0.9757445224393709,79,356.2939748764038
TIRMOO,596_fri_c2_250_5,0.23340477718733676,-2.9099621830541516,0.9353781066485316,80,238.45155024528503
TIRMOO,197_cpu_act,2.67956919469499,1.9713120667064858,0.9795309807670929,79,425.1405999660492
TIRMOO,687_sleuth_ex1605,14.190721471706057,5.305176667102964,-0.7416352509192587,46,278.9065239429474
TIRMOO,631_fri_c1_500_5,0.3902495728178919,-1.8819376284484859,0.8570927608025697,71,231.21131539344788
TIRMOO,604_fri_c4_500_10,0.3286465726937154,-2.225544705530684,0.8905782193798395,73,112.70921540260315
TIRMOO,647_fri_c1_250_10,0.2934779077612678,-2.4519058284585267,0.9131856800769549,89,109.41060018539429
TIRMOO,581_fri_c3_500_25,0.4301212898750659,-1.6873760811834944,0.8455901119802791,61,40.7199022769928
TIRMOO,485_analcatdata_vehicle,429.73868474450654,12.126354628121215,-1.6414496372046212,43,42.978851079940796
TIRMOO,657_fri_c2_250_10,0.39685059868053035,-1.8483907897299718,0.8576364911687406,77,115.2383542060852
TIRMOO,1028_SWD,0.6493705076639903,-0.8635036701812131,0.3764903708631201,103,349.3215823173523
TIRMOO,229_pwLinear,1.811405060646662,1.1882056414625175,0.8664538205432053,82,70.04621434211731
TIRMOO,210_cloud,1.193841589284902,0.35435266775592317,-0.2952980121887936,61,284.6856782436371
TIRMOO,591_fri_c1_100_10,0.47040781447188296,-1.5083105402759875,0.7387172225540664,52,37.03681135177612
TIRMOO,690_visualizing_galaxy,14.389967426265171,5.333062514519652,0.9765500704786502,85,284.0508232116699
TIRMOO,1595_poker,0.7359940916665892,-0.6130663758247982,0.09389269431674951,104,1076.7240571975708
TIRMOO,666_rmftsa_ladata,1.7183260222684704,1.0827011480996875,0.6279568864568097,152,305.4901080131531
TIRMOO,590_fri_c0_1000_50,0.4090942361378525,-1.7876194865475001,0.8258669889740682,49,21.289820909500122
TIRMOO,633_fri_c0_500_25,0.34077372533647193,-2.1530731680329978,0.895614016272866,59,37.91268301010132
TIRMOO,561_cpu,38.71238514286746,7.312319156737336,0.9683430275154038,70,295.32245421409607
TIRMOO,615_fri_c4_250_10,0.37549112757489095,-1.959040872705993,0.7562828343639826,83,100.07846808433533
TIRMOO,4544_GeographicalOriginalofMusic,0.7054125818534297,-0.6979448497172662,0.5834117676444912,20,6.8672637939453125
TIRMOO,519_vinnie,1.7954114136223303,1.1704683909351645,0.6237635552856533,106,330.4313876628876
TIRMOO,197_cpu_act,2.5785152466010643,1.8944274949289326,0.97689291695512,70,405.8320734500885
TIRMOO,615_fri_c4_250_10,0.6674662719536943,-0.8085328377853678,0.6701373562048811,79,112.19632911682129
TIRMOO,624_fri_c0_100_5,0.566679353603762,-1.1359232982880834,0.7844921351512049,38,70.1183123588562
TIRMOO,649_fri_c0_500_5,0.21045581947384054,-3.116959063246197,0.9545688335014078,92,257.8717315196991
TIRMOO,593_fri_c1_1000_10,0.31116611741560507,-2.334856739609331,0.905027342937368,89,1043.4366312026978
TIRMOO,titanic,0.7476030854183134,-0.5817661526228964,0.3268361886586171,77,2189.5208320617676
TIRMOO,645_fri_c3_500_50,0.5179640706382069,-1.3156988016611828,0.7056841806286156,41,16.27563190460205
TIRMOO,574_house_16H,39401.666029916545,21.163126758830604,0.4000423296082869,80,753.679292678833
TIRMOO,631_fri_c1_500_5,0.278086101644845,-2.5596489901946797,0.9178351097826243,89,239.67624354362488
TIRMOO,588_fri_c4_1000_100,0.6051338963380977,-1.0046110583536163,0.6113745214020971,32,10.600440263748169
TIRMOO,537_houses,61770.4122767598,22.06235952610529,0.7178788272288774,77,1079.1205854415894
TIRMOO,712_chscase_geyser1,6.920756618318616,3.869050203119879,0.7567769377093964,106,282.4835150241852
TIRMOO,1196_BNG_pharynx,299.1410591133042,11.40183046350421,0.4877235824391488,91,873.8534772396088
TIRMOO,659_sleuth_ex1714,1464.6305505380822,14.578716611428806,0.5907626710117616,52,283.4199001789093
TIRMOO,230_machine_cpu,54.428286533230384,7.9937679835201685,0.8979965949804714,91,295.9586808681488
TIRMOO,628_fri_c3_1000_5,0.21936046034213094,-3.0340779292023496,0.9455492925144994,85,262.7816219329834
TIRMOO,653_fri_c0_250_25,0.25261402281494383,-2.751785113383056,0.9326056449836881,76,39.217249631881714
TIRMOO,589_fri_c2_1000_25,0.41352582221519874,-1.7660706370950146,0.8311211227247044,61,52.7473931312561
TIRMOO,556_analcatdata_apnea2,1058.016465334031,13.928302349989439,0.891218579985967,76,311.4274706840515
TIRMOO,659_sleuth_ex1714,1534.001337411725,14.671269707545592,0.5467924664032833,55,287.87895226478577
TIRMOO,650_fri_c0_500_50,0.35544738817670396,-2.0687560691361586,0.8820942905496372,38,16.80514430999756
TIRMOO,663_rabe_266,1.6256057536856348,0.9717610356370392,0.9991597596855957,79,293.60080122947693
TIRMOO,192_vineyard,3.7490983506582274,2.6430307424951156,0.3491108927657234,52,280.5990734100342
TIRMOO,1191_BNG_pbc,892.2941116109786,13.587591599541561,0.34582628534736215,86,596.7632977962494
TIRMOO,605_fri_c2_250_25,0.6831941744095233,-0.7619523269245525,0.4665210882955707,44,35.301220178604126
TIRMOO,687_sleuth_ex1605,278.72929372877695,11.260482074855787,-699.7238456375634,58,283.9126546382904
TIRMOO,573_cpu_act,2.67956919469499,1.9713120667064858,0.9795309807670929,79,423.1033253669739
TIRMOO,210_cloud,0.47197591118046756,-1.501654660667093,0.7770973586515711,67,282.28441047668457
TIRMOO,225_puma8NH,3.15586075325528,2.2985225614699916,0.6853931603439595,85,2872.2350928783417
TIRMOO,590_fri_c0_1000_50,0.41825310104636687,-1.7433370496117784,0.8137703332864494,38,20.690245151519775
TIRMOO,562_cpu_small,3.083221308189816,2.25194985943441,0.9665118587607312,109,639.4723827838898
TIRMOO,633_fri_c0_500_25,0.30974960331795914,-2.343982078251952,0.9045753634896988,56,44.26117968559265
TIRMOO,601_fri_c1_250_5,0.1754637792051273,-3.4806452873447395,0.9712699558897772,86,1677.5653524398804
TIRMOO,547_no2,0.5406549232552894,-1.2299481069075353,0.3968243411833309,115,313.95001196861267
TIRMOO,613_fri_c3_250_5,0.2612135100936078,-2.6848343194826367,0.9209697980311057,85,219.60223984718323
TIRMOO,633_fri_c0_500_25,0.29040655030513335,-2.4729468802774575,0.9045537944276463,62,38.23143792152405
TIRMOO,522_pm10,0.7555338521127126,-0.5606613814233449,0.25732642853192667,115,300.70120906829834
TIRMOO,666_rmftsa_ladata,1.872373212052134,1.2544134471944444,0.6647341020343682,88,332.8486840724945
TIRMOO,617_fri_c3_500_5,0.2675301395065259,-2.637046095881098,0.920575722676866,86,239.9987907409668
TIRMOO,627_fri_c2_500_10,0.28785136641366416,-2.490622041814637,0.9316660494506454,77,120.45648503303528
TIRMOO,712_chscase_geyser1,6.5606510996436125,3.7621797020503966,0.7555800937233964,118,287.7223606109619
TIRMOO,608_fri_c3_1000_10,0.2619447504564762,-2.679243347157711,0.9304643801983676,80,130.04615664482117
TIRMOO,612_fri_c1_1000_5,0.18393674417453273,-3.386326724279523,0.9652183696400717,80,284.839323759079
TIRMOO,712_chscase_geyser1,6.9693080259193465,3.88303188184554,0.6851492225369411,118,286.4983882904053
TIRMOO,656_fri_c1_100_5,0.4622829818246384,-1.5431561212781235,0.7486297397288457,38,524.7074062824249
TIRMOO,690_visualizing_galaxy,14.381206395412551,5.3318444855052345,0.9742445676423106,100,279.62167406082153
TIRMOO,616_fri_c4_500_50,0.4360911127162513,-1.6598081666906204,0.7697142366750518,47,16.525638818740845
TIRMOO,649_fri_c0_500_5,0.22895184978331465,-2.948487120982419,0.9493596161240581,94,269.44891381263733
TIRMOO,519_vinnie,1.6440932739440077,0.9943780620004746,0.7413705917032036,109,312.8424792289734
TIRMOO,582_fri_c1_500_25,0.42738754783998156,-1.700128142392667,0.8256820756151131,68,47.30718731880188
TIRMOO,644_fri_c4_250_25,0.38373016538910004,-1.915631335397975,0.8311532492333678,62,34.492788553237915
TIRMOO,557_analcatdata_apnea1,1174.1827601208913,14.136655322576694,0.9034318538320643,79,427.35604906082153
TIRMOO,622_fri_c2_1000_50,0.5249134394757257,-1.2890438143466905,0.7111202276386153,41,17.45384168624878
TIRMOO,1028_SWD,0.6192317845346302,-0.9585512528225338,0.375589479530981,155,368.1322422027588
TIRMOO,556_analcatdata_apnea2,1124.9236580633476,14.050940905673428,0.8873161204026578,76,329.81594371795654
TIRMOO,588_fri_c4_1000_100,0.5464860106925766,-1.2084931393879057,0.6820377930169025,29,8.687553405761719
TIRMOO,650_fri_c0_500_50,0.35532163135127415,-2.069463791748073,0.8887780223352943,58,20.015865564346313
TIRMOO,banana,0.6030011253009954,-1.0116724321717758,0.6312118520368077,92,727.097505569458
TIRMOO,634_fri_c2_100_10,0.6307546386980154,-0.9216766744607162,0.6540949937454914,41,29.689956188201904
TIRMOO,582_fri_c1_500_25,0.4910690838803275,-1.422340921435438,0.7717346698494889,68,49.977901458740234
TIRMOO,604_fri_c4_500_10,0.3144059082744588,-2.3141408527641922,0.8913695015928235,70,115.17366528511047
TIRMOO,294_satellite_image,1.0064831590759102,0.012924467585415551,0.7902278104435063,230,808.2103815078735
TIRMOO,595_fri_c0_1000_10,0.20740460408389536,-3.1461675687572876,0.9560621637119061,86,132.84837698936462
TIRMOO,542_pollution,71.65206723483702,8.543644011409933,-0.3195448241471992,73,291.38166093826294
TIRMOO,titanic,0.7837332850810208,-0.4873730282255985,0.2870782136558907,71,2146.83665394783
