[0.3630820281053004] ((0.7978675868579022) + (((-0.27843683826825444) * (np.sin((x[:,1])**(1)))) + (((6.86278410548761e-2) * (((x[:,0])**(1)))) + (((0.2329300504301254) * (((x[:,1])**(1)))) + (((8.026203639496737e-2) * (((x[:,0])**(2)))) + (((0.14392393661488193) * (((x[:,1])**(2)))) + (((-5.476298674392034e-2) * (np.exp((x[:,1])**(1)))) + (((-1.7083876823317207e-3) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((-1.520690465841942e-2) * (np.exp((x[:,0])**(1)))) + ((4.937976599060432e-9) * (np.exp((x[:,1])**(2)))))))))))))
[0.360635618739958] ((0.8080468811744687) + (((-0.3375823635963189) * (np.sin((x[:,0])**(1)))) + (((0.24534069337594563) * (((x[:,0])**(1)))) + (((2.6421376043503668e-3) * (((x[:,1])**(1)))) + (((0.13729921143336998) * (((x[:,0])**(2)))) + (((6.568899829285176e-2) * (((x[:,1])**(2)))) + (((-1.7859396269080405e-3) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((-2.7345506586707098e-2) * (np.exp((x[:,0])**(1)))) + ((-2.73455065867107e-2) * (np.exp((x[:,0])**(1))))))))))))
[0.3424327668426338] ((0.7804192666411462) + (((-0.2813585772002247) * (np.sin((x[:,1])**(1)))) + (((4.2397473435046296e-2) * (((x[:,0])**(1)))) + (((0.23856763110597284) * (((x[:,1])**(1)))) + (((7.854923650162443e-2) * (((x[:,0])**(2)))) + (((0.1439528092812824) * (((x[:,1])**(2)))) + (((-5.5408832279611436e-2) * (np.exp((x[:,1])**(1)))) + (((-1.6206622582164453e-3) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((-7.924091127118874e-3) * (np.exp((x[:,0])**(1)))) + ((-7.77349591183427e-8) * (np.exp((x[:,0])**(2)))))))))))))
[0.34311662889884736] ((0.7846763428528162) + (((-0.2775400472967934) * (np.sin((x[:,1])**(1)))) + (((1.1702082260119248e-2) * (((x[:,0])**(1)))) + (((0.23793234996744886) * (((x[:,1])**(1)))) + (((6.84620371026208e-2) * (((x[:,0])**(2)))) + (((0.14350692496033848) * (((x[:,1])**(2)))) + (((-5.516534879992503e-2) * (np.exp((x[:,1])**(1)))) + (((-1.5519532526881382e-3) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((-9.619352924091811e-8) * (np.exp((x[:,0])**(2)))) + ((-1.4063216518793679e-9) * (np.exp((x[:,1])**(2)))))))))))))
[0.3290323007811917] ((0.789679487274233) + (((-0.3405414388913291) * (np.sin((x[:,0])**(1)))) + (((0.24444780026803514) * (((x[:,0])**(1)))) + (((6.408786891981494e-2) * (((x[:,1])**(1)))) + (((0.13494807235089756) * (((x[:,0])**(2)))) + (((9.203576068254854e-2) * (((x[:,1])**(2)))) + (((-1.5720940144023577e-2) * (np.exp((x[:,1])**(1)))) + (((-1.4600990599377976e-3) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((-5.459590994345062e-2) * (np.exp((x[:,0])**(1)))) + ((-5.0982371301149954e-8) * (np.exp((x[:,1])**(2)))))))))))))
