[6.486276226280323e-4] (((0.17422571083597804) + (((-2.4890952730198562e-2) * (((x[:,0])**(2)))) + (((-7.61018498026425e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.1766485890222294) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324322) * (((x[:,1])**(2)))) + (((-2.9101851398432697e-5) * (np.exp((x[:,1])**(2)))) + (((5.842145884882506e-2) * (((x[:,0])**(1)))) + (((5.341358423246183e-6) * (np.exp((x[:,0])**(2)))) + ((-5.882971398753915e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.20364250165148817) * (np.sin((x[:,0])**(2)))) + (((7.288966406333885e-2) * (np.sin((x[:,1])**(2)))) + (((0.902022541471615) * (np.exp((x[:,0])**(1)))) + ((-2.5635525347311066) * (((x[:,0])**(1)))))))))
[6.486276226280323e-4] (((0.17422571083597804) + (((-2.4890952730198562e-2) * (((x[:,0])**(2)))) + (((-7.61018498026425e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.1766485890222294) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324322) * (((x[:,1])**(2)))) + (((-2.9101851398432697e-5) * (np.exp((x[:,1])**(2)))) + (((5.842145884882506e-2) * (((x[:,0])**(1)))) + (((5.341358423246183e-6) * (np.exp((x[:,0])**(2)))) + ((-5.882971398753915e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.20364250165148817) * (np.sin((x[:,0])**(2)))) + (((7.288966406333885e-2) * (np.sin((x[:,1])**(2)))) + (((0.902022541471615) * (np.exp((x[:,0])**(1)))) + ((-2.5635525347311066) * (((x[:,0])**(1)))))))))
[6.486276226280323e-4] (((0.17422571083597804) + (((-2.4890952730198562e-2) * (((x[:,0])**(2)))) + (((-7.61018498026425e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.1766485890222294) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324322) * (((x[:,1])**(2)))) + (((-2.9101851398432697e-5) * (np.exp((x[:,1])**(2)))) + (((5.842145884882506e-2) * (((x[:,0])**(1)))) + (((5.341358423246183e-6) * (np.exp((x[:,0])**(2)))) + ((-5.882971398753915e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.20364250165148817) * (np.sin((x[:,0])**(2)))) + (((7.288966406333885e-2) * (np.sin((x[:,1])**(2)))) + (((0.902022541471615) * (np.exp((x[:,0])**(1)))) + ((-2.5635525347311066) * (((x[:,0])**(1)))))))))
[5.466316726174202e-3] (((4.574925131437911e-2) + (((-8.940990039397502e-2) * (((x[:,0])**(2)))) + (((-8.53277348317143e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.20454145910879537) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((-7.48656067324237e-5) * (np.exp((x[:,1])**(2)))) + (((4.632808339521824e-2) * (((x[:,0])**(1)))) + (((3.4997029420399825e-2) * (np.exp((x[:,0])**(1)))) + ((3.718296430985596e-2) * (np.exp((x[:,1])**(1))))))))))) / ((1.0) + (((0.11500165854295566) * (np.sin((x[:,1])**(2)))) + (((3.46251856382922e-2) * (np.sin((x[:,0])**(2)))) + (((0.5533665258099266) * (np.exp((x[:,0])**(1)))) + ((-1.5624051716069138) * (((x[:,0])**(1)))))))))
[6.486276226280738e-4] (((0.17422571083598148) + (((-2.4890952730202316e-2) * (((x[:,0])**(2)))) + (((-7.610184980264445e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.17664858902223982) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324045) * (((x[:,1])**(2)))) + (((-2.910185139844007e-5) * (np.exp((x[:,1])**(2)))) + (((5.8421458848827115e-2) * (((x[:,0])**(1)))) + (((5.34135842321342e-6) * (np.exp((x[:,0])**(2)))) + ((-5.8829713987539736e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((7.288966406333869e-2) * (np.sin((x[:,1])**(2)))) + (((0.20364250165148884) * (np.sin((x[:,0])**(2)))) + (((0.9020225414716152) * (np.exp((x[:,0])**(1)))) + ((-2.563552534731107) * (((x[:,0])**(1)))))))))
[6.486276226280323e-4] (((0.17422571083597804) + (((-2.4890952730198562e-2) * (((x[:,0])**(2)))) + (((-7.61018498026425e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.1766485890222294) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324322) * (((x[:,1])**(2)))) + (((-2.9101851398432697e-5) * (np.exp((x[:,1])**(2)))) + (((5.842145884882506e-2) * (((x[:,0])**(1)))) + (((5.341358423246183e-6) * (np.exp((x[:,0])**(2)))) + ((-5.882971398753915e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.20364250165148817) * (np.sin((x[:,0])**(2)))) + (((7.288966406333885e-2) * (np.sin((x[:,1])**(2)))) + (((0.902022541471615) * (np.exp((x[:,0])**(1)))) + ((-2.5635525347311066) * (((x[:,0])**(1)))))))))
[6.486276226280323e-4] (((0.17422571083597804) + (((-2.4890952730198562e-2) * (((x[:,0])**(2)))) + (((-7.61018498026425e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.1766485890222294) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324322) * (((x[:,1])**(2)))) + (((-2.9101851398432697e-5) * (np.exp((x[:,1])**(2)))) + (((5.842145884882506e-2) * (((x[:,0])**(1)))) + (((5.341358423246183e-6) * (np.exp((x[:,0])**(2)))) + ((-5.882971398753915e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.20364250165148817) * (np.sin((x[:,0])**(2)))) + (((7.288966406333885e-2) * (np.sin((x[:,1])**(2)))) + (((0.902022541471615) * (np.exp((x[:,0])**(1)))) + ((-2.5635525347311066) * (((x[:,0])**(1)))))))))
[6.486276226280323e-4] (((0.17422571083597804) + (((-2.4890952730198562e-2) * (((x[:,0])**(2)))) + (((-7.61018498026425e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.1766485890222294) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324322) * (((x[:,1])**(2)))) + (((-2.9101851398432697e-5) * (np.exp((x[:,1])**(2)))) + (((5.842145884882506e-2) * (((x[:,0])**(1)))) + (((5.341358423246183e-6) * (np.exp((x[:,0])**(2)))) + ((-5.882971398753915e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.20364250165148817) * (np.sin((x[:,0])**(2)))) + (((7.288966406333885e-2) * (np.sin((x[:,1])**(2)))) + (((0.902022541471615) * (np.exp((x[:,0])**(1)))) + ((-2.5635525347311066) * (((x[:,0])**(1)))))))))
[2.6059097183710528e-3] (((0.1874966308599756) + (((-1.8565785157344174e-2) * (((x[:,0])**(2)))) + (((-6.478497726614232e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.14196813852087833) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.21712752410686637) * (((x[:,1])**(2)))) + (((-2.8496665911080014e-5) * (np.exp((x[:,1])**(2)))) + (((4.5597543569494026e-2) * (((x[:,0])**(1)))) + (((2.181669719010797e-6) * (np.exp((x[:,0])**(2)))) + ((-7.519685985384322e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.12109711788643535) * (np.sin((x[:,0])**(2)))) + (((0.12109711788644206) * (np.sin((x[:,0])**(2)))) + (((0.9292812452784158) * (np.exp((x[:,0])**(1)))) + ((-2.733090886131331) * (((x[:,0])**(1)))))))))
[6.486276226280323e-4] (((0.17422571083597804) + (((-2.4890952730198562e-2) * (((x[:,0])**(2)))) + (((-7.61018498026425e-2) * ((((x[:,1])**(1)) * ((x[:,0])**(2))))) + (((0.1766485890222294) * ((((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.18412136370324322) * (((x[:,1])**(2)))) + (((-2.9101851398432697e-5) * (np.exp((x[:,1])**(2)))) + (((5.842145884882506e-2) * (((x[:,0])**(1)))) + (((5.341358423246183e-6) * (np.exp((x[:,0])**(2)))) + ((-5.882971398753915e-2) * (np.exp((x[:,1])**(1)))))))))))) / ((1.0) + (((0.20364250165148817) * (np.sin((x[:,0])**(2)))) + (((7.288966406333885e-2) * (np.sin((x[:,1])**(2)))) + (((0.902022541471615) * (np.exp((x[:,0])**(1)))) + ((-2.5635525347311066) * (((x[:,0])**(1)))))))))
