[1.2819862342199702e-2] (((4.553694212086103e-2) + (((-0.14625059773703858) * (((x[:,0])**(2)))) + (((-2.726427908275827e-6) * (np.exp((x[:,1])**(2)))) + (((0.17552235331815094) * (((x[:,1])**(2)))) + (((5.973546929620591e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((6.722607037170215e-2) * (np.exp((x[:,0])**(1)))) + (((-2.5767909284227487e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((5.023615356327962e-2) * (np.sin(((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.14235411033885284) * (np.sin((x[:,0])**(1)))) + ((-7.314466473646888e-2) * (np.exp((x[:,1])**(1))))))))))))) / ((1.0) + (((-0.21656706485349111) * (np.sin((x[:,0])**(2)))) + ((2.7888283926403977e-4) * (np.exp(((x[:,1])**(1)) * ((x[:,0])**(1))))))))
[2.805328497117203e-2] (((3.82452873919195e-2) + (((-0.1215372880830671) * (((x[:,0])**(2)))) + (((2.921221415081065e-2) * (((x[:,1])**(2)))) + (((7.467300305280064e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((-5.008721726407077e-2) * (np.sin((x[:,1])**(2)))) + (((-2.741750864837635e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((5.688271574114961e-2) * (np.sin(((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.10717238080227807) * (np.sin((x[:,0])**(1)))) + ((5.291279676225275e-2) * (np.exp((x[:,0])**(1)))))))))))) / ((1.0) + (((-0.22423567846517542) * (np.sin((x[:,0])**(2)))) + ((2.550341438167556e-3) * (np.exp(((x[:,1])**(1)) * ((x[:,0])**(1))))))))
[1.682521464693849e-2] (((0.2194819541078018) + (((-2.4719873616279524e-2) * (((x[:,0])**(2)))) + (((2.350609766854447e-5) * (np.exp((x[:,1])**(2)))) + (((0.7258017272352064) * (((x[:,1])**(1)))) + (((7.949601538659638e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((1.9537529167065533e-5) * (np.exp((x[:,0])**(2)))) + (((-3.0351810629752722e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((7.003991553312017e-2) * (np.sin(((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((-0.5996265973426886) * (np.sin((x[:,1])**(1)))) + ((-0.11288423420967936) * (np.exp((x[:,1])**(1))))))))))))) / ((1.0) + (((-0.2692695540513859) * (np.sin((x[:,0])**(2)))) + ((1.2194418610319102e-3) * (np.exp(((x[:,1])**(1)) * ((x[:,0])**(1))))))))
[1.6717415998887875e-2] (((-1.5562361986325532e-2) + (((-0.14345843699738536) * (((x[:,0])**(2)))) + (((-5.164030567378036e-5) * (np.exp((x[:,1])**(2)))) + (((5.080044781661853e-2) * (((x[:,1])**(2)))) + (((6.55993073419239e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((3.249819503196743e-2) * (np.exp((x[:,0])**(1)))) + (((-2.6849849671206367e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((4.282219786957363e-2) * (np.sin(((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.1354117940559179) * (np.sin((x[:,0])**(1)))) + ((3.2498195031967415e-2) * (np.exp((x[:,0])**(1))))))))))))) / ((1.0) + (((-0.20877803809374926) * (np.sin((x[:,0])**(2)))) + ((1.2028179342895308e-3) * (np.exp(((x[:,1])**(1)) * ((x[:,0])**(1))))))))
[1.1589671969066863e-2] (((4.583110745934487e-2) + (((-0.14518517670601405) * (((x[:,0])**(2)))) + (((-6.675648264776242e-2) * (np.exp((x[:,1])**(1)))) + (((0.16183172479677077) * (((x[:,1])**(2)))) + (((6.039068549381851e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(1))))) + (((-1.518777692873475e-2) * (np.sin((x[:,1])**(2)))) + (((-2.581735355740638e-2) * ((((x[:,1])**(2)) * ((x[:,0])**(2))))) + (((5.3736673886870305e-2) * (np.sin(((x[:,1])**(1)) * ((x[:,0])**(1))))) + (((0.14085920905073884) * (np.sin((x[:,0])**(1)))) + ((6.676303652555465e-2) * (np.exp((x[:,0])**(1))))))))))))) / ((1.0) + (((-0.2160601470750476) * (np.sin((x[:,0])**(2)))) + ((3.481148034408727e-4) * (np.exp(((x[:,1])**(1)) * ((x[:,0])**(1))))))))
